Item Name,Cost,Link
ELEGOO UNO R3 Board ATmega328P with USB Cable(Arduino-Compatible) for Arduino,16.99,https://www.amazon.com/LUIRSAY-2Pcs-ATmega328P-Microcontroller-Compatible/dp/B0F1FQMNXM/ref=sr_1_2?crid=K6JWWP29T3ON&dib=eyJ2IjoiMSJ9.qNDWvja7EkqrTyJUqsmXZrB9p8GEQYV4q_zs1rm5_hFpFOmmaQpfdawA-6nxq7FirVA-u-gixn6Gsd7bjkWpUQe5Um3MdphjI5OMSwXl57C_Epb2SEHJdL9bojgvXbqWFr0qanauTKBRjyiJdRCxHxF1GPZi45ubmAem9JCM4YGkMXURVTR9wI-SRT3rO7OZTMPNxVvPE3OB8f7BslhsJshCP1X6K_mzTBBXQMqElCU.kkDB6-3bKE6I-bIVNUF-b_Vc4lzy-bhwj_qn_TjsfzE&dib_tag=se&keywords=arduino%2Bnano&qid=1759592484&sprefix=ardunio%2Bnanop%2Caps%2C195&sr=8-2&th=1
TFT Touch Screen LCD,18.99,https://www.amazon.com/Hosyond-Display-Compatible-Mega2560-Development/dp/B0CKRJ81B5/ref=sr_1_16?crid=4J0DIWJ7OBFV&dib=eyJ2IjoiMSJ9.Sd56RcnO5JZzMcXGf0oK1yWUR6p9rzuTuciYDL1i4usGKJ80j6WUIAsrXBnKNMnHOaUafGwKqgod-UzIP-cTFJboLzkxqyhvLL4iDmtr5pdeG9liLC4s4yjv7vtrHu9YjXWWg33qSD-4gF9Haagz71hTUYKTzYe3vqOSqWT44NI2IzWRmhdb9O_PrZuboO7dsVDswAtfSLmJ5XhhSjpsz8x1ZTDrDbEuCUXaMdfFDLY.fCbZelAPszRi154wS1RmeBnXUTnimZCLMYsIENyftBk&dib_tag=se&keywords=6-inch%2BTFT&qid=1759592208&sprefix=6-inch%2Btft%2Caps%2C165&sr=8-16&th=1
Lithium Polymer Battery 3.7V 2000mAh,0,Have
Velcro Straps,8.65,https://www.amazon.com/Fastening-YiwerDer-Adjustable-Multi-Purpose-Organized/dp/B071DGMNMX/ref=sr_1_1?crid=1MPTKBEZTSQ7D&dib=eyJ2IjoiMSJ9.w1ZL9xVojEV0BqeMUmybcSJ1caXpongwihph6r0Pl-CkXaQBClwUNJs6aqWmBhLWrYJXHuZS53ngko4Eoo_s0pSC2rqN9fvIE07SMQelBWs4enpCKQ2io-IVfQK47wqZh7oy7ojXQB-UL_BQkaw9VWjMRD2ZdEkVOUpIRqOfSPiYmRjiXumdeq8sLHW4FrnmvcRtVNSTfWwJYOUmHVR4y8o1la2E7pO_I3bsR0cDFIw.ZV_R2W6UK4j0mYyyhPTjjOJGKlkvIeKWAnL5iV_2SqM&dib_tag=se&keywords=velcro%2Bstraps&qid=1759592819&sprefix=velcro%2Bsr%2Caps%2C240&sr=8-1&th=1
